concerned,P\k@n-'s3nd\[CVC][CVVCC]\[k@n][s3:nd],,,,,cC,CR CRCC,CR CRCC,01,+/d/,CR CRC,V,,,,2,
animal,"P\'{-nI-mP\[V][CV][CS]\[&][nI][ml,]\S\'{-n@-mP\[V][CV][CS]\[&][n@][ml,]",,,,,Xxc,V CV CR,V CV CS,100,0,0,N,,,,33,
awfully,P\'$-fU-lI\[VV][CV][CV]\[O:][fU][lI]\S\'$-flI\[VV][CCV]\[O:][flI],,,,Xxc,,VV CV CVV,VV CV CV,100,0,0,,Adverb,,,14,
beverage,P\'bE-v@-rI_\[CV][CV][CVC]\[bE][v@][rIdZ]\P\'bE-vrI_\[CV][CCVC]\[bE][vrIdZ],,,,,Xxc,CV CV CVC,CVC CVC,100,0,0,N,,,,1,
cabinet,"P\'k{-bI-nIt\[CV][CV][CVC]\[k&][bI][nIt]\S\'k{-b@-nIt\[CV][CV][CVC]\[k&][b@][nIt]\S\'k{-bH-It\[CV][CS][VC]\[k&][bn,][It]\S\'k{-bI-n@t\[CV][CV][CVC]\[k&][bI][n@t]\S\'k{-b@-n@t\[CV][CV][CVC]\[k&][b@][n@t]\S\'k{-bH-@t\[CV][CS][VC]\[k&][bn,][@t]",,,,,Xxc,CV CV CVC,CV CV CVC,100,0,0,N,,,,13,
chocolate,P\'JQ-k@-l@t\[CV][CV][CVC]\[tSO][k@][l@t]\P\'JQk-l@t\[CVC][CVC]\[tSOk][l@t]\S\'JQ-k@-lIt\[CV][CV][CVC]\[tSO][k@][lIt]\S\'JQk-lIt\[CVC][CVC]\[tSOk][lIt],,,,,Xxc,CV CV CVC,CV CV CVC,100,0,0,N,,,,1,
christening,"P\'krI-sH-IN\[CCV][CS][VC]\[krI][sn,][IN]\S\'krIs-nIN\[CCVC][CVC]\[krIs][nIN]",,,,,Xxc,CCV CR VM,CCV CS VC,100,+/IG/,CCV CR,,,,,2,
cigarette,"P\""sI-g@-'rEt\[CV][CV][CVC]\[sI][g@][rEt]",,,,,Xxc,CV CV CVC,CV CV CVC,100,0,0,N,,,,1,
covering,P\'kV-v@-rIN\[CV][CV][CVC]\[kV][v@][rIN]\S\'kV-vrIN\[CV][CCVC]\[kV][vrIN],,,,Xxc,,CV CR VM,CV CR VC,100,+/IG/,CV CR,V,,,,2,
difficult,"P\'dI-fI-k@lt\[CV][CV][CVCC]\[dI][fI][k@lt]\P\'dI-fI-kPt\[CV][CV][CSC]\[dI][fI][kl,t]\S\'dI-f@-k@lt\[CV][CV][CVCC]\[dI][f@][k@lt]",,,,,Xxc,CV CV CVMC,CV CV CVCC,100,0,0,A,,,,7,
edible,"P\'E-dI-bP\[V][CV][CS]\[E][dI][bl,]\S\'E-d@-bP\[V][CV][CS]\[E][d@][bl,]",,,,,Xxc,CV CV CR,V CV CS,100,0,0,A,,,,2,
elegant,P\'E-lI-g@nt\[V][CV][CVCC]\[E][lI][g@nt],,,,,Xxc,CV CV CRC,V CV CVCC,100,0,0,A,,,,1,
elephant,P\'E-lI-f@nt\[V][CV][CVCC]\[E][lI][f@nt]\S\'E-l@-f@nt\[V][CV][CVCC]\[E][l@][f@nt],,,,,Xxc,V CV CRC,V CV CVCC,100,0,0,N,,,,102,
fabulous,P\'f{-bjU-l@s\[CV][CCV][CVC]\[f&][bjU][l@s]\S\'f{-bj@-l@s\[CV][CCV][CVC]\[f&][bj@][l@s],,,,,Xxc,CV CCVV CVC,CV CCV CVC,100,0,0,A,,,,1,
genesis,P\'_E-n@-sIs\[CV][CV][CVC]\[dZE][n@][sIs]\S\'_E-nI-sIs\[CV][CV][CVC]\[dZE][nI][sIs],,,,,Xxc,CV CV CVC,CV CV CVC,100,0,0,,Name,,Bible,7,
gibberish,P\'_I-b@-rIS\[CV][CV][CVC]\[dZI][b@][rIS]\S\'gI-b@-rIS\[CV][CV][CVC]\[gI][b@][rIS],,,,,Xxc,CV CV CVC,CV CV CVC,100,0,0,N,,,,2,
happening,"P\'h{p-H-IN\[CVC][S][VC]\[h&p][n,][IN]\S\'h{-p@-nIN\[CV][CV][CVC]\[h&][p@][nIN]\S\'h{p-nIN\[CVC][CVC]\[h&p][nIN]",,,,Xxc,,CV CR VM,CV CVC VC,100,+/IG/,CV CR,N,,,,5,
horrible,"P\'hQ-r@-bP\[CV][CV][CS]\[hO][r@][bl,]\S\'hQ-rI-bP\[CV][CV][CS]\[hO][rI][bl,]",,,,,Xxc,CVV CV CR,CV CV CS,100,0,0,A,,,,7,
magical,"P\'m{-_I-kP\[CV][CV][CS]\[m&][dZI][kl,]",,,,,Xxc,CV CV CR,CV CV CS,100,0,0,A,,,,1,
medicine,"P\'mEd-sIn\[CVC][CVC]\[mEd][sIn]\P\'mEd-sH\[CVC][CS]\[mEd][sn,]\S\'mEd-s@n\[CVC][CVC]\[mEd][s@n]\S\'mE-dI-sIn\[CV][CV][CVC]\[mE][dI][sIn]\S\'mE-dI-sH\[CV][CV][CS]\[mE][dI][sn,]",,,,,Xxc,CV CV CVM,CV CV CS,100,0,0,N,,,,48,
monitor,P\'mQ-nI-t@R\[CV][CV][CVC]\[mO][nI][t@r*],,,,,Xxc,CV CV CR,CV CV CR,100,0,0,N,,,,11,
natural,"P\'n{-Jr@l\[CV][CCVC]\[n&][tSr@l]\P\'n{-JrP\[CV][CCS]\[n&][tSrl,]\S\'n{-JU-r@l\[CV][CV][CVC]\[n&][tSU][r@l]\S\'n{-JU-rP\[CV][CV][CS]\[n&][tSU][rl,]\S\'n{-J@-r@l\[CV][CV][CVC]\[n&][tS@][r@l]\S\'n{-J@-rP\[CV][CV][CS]\[n&][tS@][rl,]",,,,,Xxc,CV CVV CR,CV CCVC,100,0,0,A,,,,7,
nautilus,P\'n$-tI-l@s\[CVV][CV][CVC]\[nO:][tI][l@s],,,,,Xxc,CVV CV CVC,CVV CV CVC,100,0,0,N,,,,2,
negative,P\'nE-g@-tIv\[CV][CV][CVC]\[nE][g@][tIv],,,,,Xxc,CV CV CVC,CV CV CVC,100,0,0,A,,,,1,
opposite,P\'Q-p@-zIt\[V][CV][CVC]\[O][p@][zIt]\S\'Q-p@-sIt\[V][CV][CVC]\[O][p@][sIt],,,,,Xxc,V CV CVC,V CV CVC,100,0,0,A,,,,6,
pitiful,"P\'pI-tI-fUl\[CV][CV][CVC]\[pI][tI][fUl]\P\'pI-tI-fP\[CV][CV][CS]\[pI][tI][fl,]",,,,Xxc,,CV CV CR,CV CV CR,100,0,0,A,,,,1,
platinum,"P\'pl{-tI-n@m\[CCV][CV][CVC]\[pl&][tI][n@m]\S\'pl{-tH-@m\[CCV][CS][VC]\[pl&][tn,][@m]",,,,,Xxc,CCV CV CVM,CVC CV CVC,100,0,0,N,,,,1,
positive,P\'pQ-z@-tIv\[CV][CV][CVC]\[pO][z@][tIv]\S\'pQ-zI-tIv\[CV][CV][CVC]\[pO][zI][tIv],,,,,Xxc,CV CV CVC,CV CV CVC,100,0,0,A,,,,1,
possible,"P\'pQ-s@-bP\[CV][CV][CS]\[pO][s@][bl,]\S\'pQ-sI-bP\[CV][CV][CS]\[pO][sI][bl,]",,,,,Xxc,CV CV CR,CV CV CR,100,0,0,A,,,,4,
prisoner,"P\'prI-zH-@R\[CCV][CS][VC]\[prI][zn,][@r*]\S\'prIz-n@R\[CCVC][CVC]\[prIz][n@r*]",pr'Iz.In.R|pr'Izn.R,,,,Xxc,CCV CV CR,CCV CV CR,100,0,0,N,,,,1,
privilege,P\'prI-vI-lI_\[CCV][CV][CVC]\[prI][vI][lIdZ]\S\'prI-v@-lI_\[CCV][CV][CVC]\[prI][v@][lIdZ],,,,,Xxc,CCV CV CVC,CCV CV CVC,100,0,0,N,,,,1,
regular,P\'rE-gjU-l@R\[CV][CCV][CVC]\[rE][gjU][l@r*]\S\'rE-gj@-l@R\[CV][CCV][CVC]\[rE][gj@][l@r*],,,,,Xxc,CV CCVV CR,CV CCV CR,100,0,0,A,,,,9,
scattering,P\'sk{-t@-rIN\[CCV][CV][CVC]\[sk&][t@][rIN],,,,Xxc,,CCV CV CVM,CCV CR CVC,100,+/IG/,CCV CR,V,,,,1,
supplement,P\'sV-plI-m@nt\[CV][CCV][CVCC]\[sV][plI][m@nt],,,,,Xxc,CV CCV CVMC,CV CCV CVCC,100,0,0,N,,,,1,
supplement,P\'sV-plI-mEnt\[CV][CCV][CVCC]\[sV][plI][mEnt],,,,,Xxc,CV CCV CVMC,CV CCV CVCC,100,0,0,V,,,,1,
talkative,P\'t$-k@-tIv\[CVV][CV][CVC]\[tO:][k@][tIv],,,,,Xxc,CVV CV CVC,CVV CV CVC,100,0,0,A,,,,7,
terrible,"P\'tE-r@-bP\[CV][CV][CS]\[tE][r@][bl,]\S\'tE-rI-bP\[CV][CV][CS]\[tE][rI][bl,]",,,,,Xxc,CV CV CR,CV CV CR,100,0,0,A,,,,25,
vinegar,P\'vI-nI-g@R\[CV][CV][CVC]\[vI][nI][g@r*]\S\'vI-n@-g@R\[CV][CV][CVC]\[vI][n@][g@r*],,,,,Xxc,CV CV CR,CV CV CR,100,0,0,N,,,,1,
visiting,P\'vI-zI-tIN\[CV][CV][CVC]\[vI][zI][tIN],,,,Xxc,,CV CV CVM,CV CV CVC,100,+/IG/,CV CVC,V,,,,2,
wearable,"P\'w8-r@-bP\[CVV][CV][CS]\[wE@][r@][bl,]",,,,,Xxc,CVVC V CR,CVV CV CR,100,0,0,A,,,,1,
apricot,P\'1-prI-kQt\[VV][CCV][CVC]\[eI][prI][kOt],,,,,XxC,V CCV CVC,VV CCV CVC,101,0,0,N,,,,1,
autograph,P\'$-t@-gr#f\[VV][CV][CCVVC]\[O:][t@][grA:f]\S\'$-t@-gr{f\[VV][CV][CCVC]\[O:][t@][gr&f],,,,,XxC,VV CVV CCVC,VV CV CCVVC,101,0,0,N,,,,1,
catalogue,P\'k{-t@-lQg\[CV][CV][CVC]\[k&][t@][lOg],,,,,XxC,CV CV CVC,CV CV CVC,101,0,0,N,,,,5,
cinnamon,P\'sI-n@-m@n\[CV][CV][CVC]\[sI][n@][m@n],,,,,XxC,CV CV CR,CV CV CVC,101,0,0,N,,,,1,
daffodil,P\'d{-f@-dIl\[CV][CV][CVC]\[d&][f@][dIl],,,,,XxC,CV CV CVM,CV CV CVC,101,0,0,N,,,,1,
disappear,"P\""dIs-@-'p7R\[CVC][V][CVVC]\[dIs][@][pI@r*]",,,,,XxC,CVC V CVVC,CVC V CVVC,101,0,0,V,,,,1,
wherever,P\w8-'rE-v@R\[CVV][CV][CVC]\[wE@][rE][v@r*]\S\hw8-'rE-v@R\[CCVV][CV][CVC]\[hwE@][rE][v@r*]\S\w@-'rE-v@R\[CV][CV][CVC]\[w@][rE][v@r*]\S\hw@-'rE-v@R\[CCV][CV][CVC]\[hw@][rE][v@r*],H+er'Ev.R,,,,XxC,CVVC V CR,CVVC V CR,101,0,0,,Adverb,,,4,
whatever,P\wQt-'E-v@R\[CVC][V][CVC]\[wOt][E][v@r*]\S\hwQt-'E-v@R\[CCVC][V][CVC]\[hwOt][E][v@r*],H+At'Ev.R|H.at'Ev.R|H.xt'Ev.R,,,,XXc,CVC V CR,CVC V CR,110,0,0,,Pronoun,,,31,
karate,P\k@-'r#-tI\[CV][CVV][CV]\[k@][rA:][tI]\S\k{-'r#-tI\[CV][CVV][CV]\[k&][rA:][tI],,,,xXl,,CV CVV CVVC,CV CVV CV,101,0,0,N,,,,1,
salami,P\s@-'l#-mI\[CV][CVV][CV]\[s@][lA:][mI]\S\s@-'l#-mi\[CV][CVV][CVV]\[s@][lA:][mi:],,,,,xXl,CV CVV CVV,CV CVV CV,101,0,0,N,,,,1,
spaghetti,P\sp@-'gE-tI\[CCV][CV][CV]\[sp@][gE][tI]\S\sp#-'gE-tI\[CCVV][CV][CV]\[spA:][gE][tI],,,,,xXl,CCV CV CVV,CCV CV CV,101,0,0,N,,,,56,
tomorrow,P\t@-'mQ-r5\[CV][CV][CVV]\[t@][mO][r@U]\S\tU-'mQ-r5\[CV][CV][CVV]\[tU][mO][r@U],,,,,xXl,CV CV CVV,CV CV CVV,101,0,0,,Adverb,,,25,
battery,P\'b{-t@-rI\[CV][CV][CV]\[b&][t@][rI],,,,,Xxl,CV CV CVV,CV CR CV,100,0,0,N,,,,18,
broccoli,P\'brQ-k@-lI\[CCV][CV][CV]\[brO][k@][lI],,,,,Xxl,CCV CV CVV,CCV CV CV,100,0,0,N,,,,3,
celery,P\'sE-l@-rI\[CV][CV][CV]\[sE][l@][rI],,,,,Xxl,CV CV CVV,CV CR CV,100,0,0,N,,,,3,
comedy,P\'kQ-m@-dI\[CV][CV][CV]\[kO][m@][dI]\S\'kQ-mI-dI\[CV][CV][CV]\[kO][mI][dI],,,,,Xxl,CV CV CVV,CV CV CV,100,0,0,N,,,,2,
coppery,P\'kQ-p@-rI\[CV][CV][CV]\[kO][p@][rI],,,100,,,CV CV CVV,CV CR CV,100,0,0,A,,,,1,
enemy,P\'E-n@-mI\[V][CV][CV]\[E][n@][mI]\S\'E-nI-mI\[V][CV][CV]\[E][nI][mI],,,,,Xxl,V CV CVV,V CV CV,100,0,0,N,,,,5,
family,P\'f{-m@-lI\[CV][CV][CV]\[f&][m@][lI]\P\'f{m-lI\[CVC][CV]\[f&m][lI]\S\'f{-mI-lI\[CV][CV][CV]\[f&][mI][lI],,,,,Xxl,CV CV CVV,CV CV CV,100,0,0,N,,,,50,
feathery,P\'fE-D@-rI\[CV][CV][CV]\[fE][D@][rI],,,,,Xxl,CV CV CVV,CV CR CV,100,0,0,A,,,,11,
finicky,P\'fI-nI-kI\[CV][CV][CV]\[fI][nI][kI],,,,,Xxl,CV CV CVV,CV CV CV,100,0,0,A,,,,1,
gradually,P\'gr{-_9-lI\[CCV][CVV][CV]\[gr&][dZU@][lI]\S\'gr{-_w@-lI\[CCV][CCV][CV]\[gr&][dZw@][lI]\S\'gr{-_U-lI\[CCV][CV][CV]\[gr&][dZU][lI]\S\'gr{-dj9-lI\[CCV][CCVV][CV]\[gr&][djU@][lI]\S\'gr{-djw@-lI\[CCV][CCCV][CV]\[gr&][djw@][lI]\S\'gr{-djU-lI\[CCV][CCV][CV]\[gr&][djU][lI],,,,Xxl,,CCV CVV CVV,CCV CVV CV,100,0,0,,Adverb,,,1,
gravity,P\'gr{-v@-tI\[CCV][CV][CV]\[gr&][v@][tI]\S\'gr{-vI-tI\[CCV][CV][CV]\[gr&][vI][tI],,,,,Xxl,CCV CV CVV,CCV CV CV,100,0,0,N,,,,1,
happily,P\'h{-pI-lI\[CV][CV][CV]\[h&][pI][lI]\S\'h{-p@-lI\[CV][CV][CV]\[h&][p@][lI],,,,Xxl,,CV CV CVV,CV CV CV,100,0,0,,Adverb,,,2,
hickory,P\'hI-k@-rI\[CV][CV][CV]\[hI][k@][rI],,,,,Xxl,CV CV CVV,CV CV CV,100,0,0,N,,,,3,
luckily,P\'lV-kI-lI\[CV][CV][CV]\[lV][kI][lI]\S\'lV-k@-lI\[CV][CV][CV]\[lV][k@][lI],,,,Xxl,,CV CV CVV,CV CV CV,100,0,0,,Adverb,,,2,
memory,P\'mE-m@-rI\[CV][CV][CV]\[mE][m@][rI]\S\'mE-mU-rI\[CV][CV][CV]\[mE][mU][rI]\S\'mE-mrI\[CV][CCV]\[mE][mrI]\S\'mEm-rI\[CVC][CV]\[mEm][rI],,,,,Xxl,CV CV CVV,CV CV CV,100,0,0,N,,,,2,
merrily,P\'mE-r@-lI\[CV][CV][CV]\[mE][r@][lI]\S\'mE-rI-lI\[CV][CV][CV]\[mE][rI][lI],,,,Xxl,,CV CV CVV,CV CV CV,100,0,0,,Adverb,,,36,
misery,P\'mI-z@-rI\[CV][CV][CV]\[mI][z@][rI]\S\'mI-zrI\[CV][CCV]\[mI][zrI],,,,,Xxl,CV CV CVV,CV CV CV,100,0,0,N,,,,1,
policy,P\'pQ-l@-sI\[CV][CV][CV]\[pO][l@][sI]\S\'pQ-lI-sI\[CV][CV][CV]\[pO][lI][sI],,,,,Xxl,CV CV CVV,CV CV CV,100,0,0,N,,,,1,
probably,P\'prQ-b@-blI\[CCV][CV][CCV]\[prO][b@][blI],,,,Xxl,,CCV CV CCVV,CCV CV CCV,100,0,0,,Adverb,,,100,
quality,P\'kwQ-l@-tI\[CCV][CV][CV]\[kwO][l@][tI]\S\'kwQ-lI-tI\[CCV][CV][CV]\[kwO][lI][tI],,,,,Xxl,CCV CV CVV,CCV CV CV,100,0,0,N,,,,2,
remedy,P\'rE-m@-dI\[CV][CV][CV]\[rE][m@][dI]\S\'rE-mI-dI\[CV][CV][CV]\[rE][mI][dI],,,,,Xxl,CV CV CVV,CV CV CV,100,0,0,N,,,,1,
rubbery,P\'rV-b@-rI\[CV][CV][CV]\[rV][b@][rI],,,,,Xxl,CV CV CVV,CV CR CV,100,0,0,A,,,,1,
sesame,P\'sE-s@-mI\[CV][CV][CV]\[sE][s@][mI],,,,,Xxl,CV CV CVV,CV CV CV,100,0,0,N,,,,18,
slippery,P\'slI-p@-rI\[CCV][CV][CV]\[slI][p@][rI],,,,,Xxl,CCV CV CVV,CCV CR CV,100,0,0,A,,,,20,
terribly,P\'tE-r@-blI\[CV][CV][CCV]\[tE][r@][blI]\S\'tE-rI-blI\[CV][CV][CCV]\[tE][rI][blI],,,,Xxl,,CV CV CCVV,CV CV CCV,100,0,0,,Adverb,,,1,
timothy,P\'tI-m@-TI\[CV][CV][CV]\[tI][m@][TI],,,,,Xxl,CV CV CVV,CV CV CV,100,0,0,,Name,,,37,
watery,P\'w$-t@-rI\[CVV][CV][CV]\[wO:][t@][rI],,,,,Xxl,CV CV CVV,CV CR CV,100,0,0,A,,,,1,
alibi,P\'{-lI-b2\[V][CV][CVV]\[&][lI][baI],,,,,XxL,V CV CVV,V CV CVV,101,0,0,N,,,,1,
avenue,P\'{-v@-nju\[V][CV][CCVV]\[&][v@][nju:]\S\'{-vI-nju\[V][CV][CCVV]\[&][vI][nju:],,,,,XxL,V CV CVV,V CV CVV,101,0,0,N,,,,1,
faraway,"P\'f#-r@-w1\[CVV][CV][CVV]\[fA:][r@][weI]\S\""f#-r@-'w1\[CVV][CV][CVV]\[fA:][r@][weI]",,,,XxL,,CVVC V CVV,CVC V CVV,101,0,0,A,,,,1,
glorify,P\'gl$-rI-f2\[CCVV][CV][CVV]\[glO:][rI][faI],,,,,XxL,CCVV CV CVV,CCVV CV CVV,101,0,0,V,,,,4,
holiday,P\'hQ-l@-d1\[CV][CV][CVV]\[hO][l@][deI]\S\'hQ-l@-dI\[CV][CV][CV]\[hO][l@][dI]\S\'hQ-lI-d1\[CV][CV][CVV]\[hO][lI][deI]\S\'hQ-lI-dI\[CV][CV][CV]\[hO][lI][dI],,,,,XxL,CV CV CVV,CV CV CVV,101,0,0,N,,,,2,
runaway,P\'rVn-@-w1\[CVC][V][CVV]\[rVn][@][weI],,,,,XxL,CVM V CVV,CVC V CVV,101,0,0,V,,,,1,
strawberry,P\'str$-b@-rI\[CCCVV][CV][CV]\[strO:][b@][rI]\P\'str$-brI\[CCCVV][CCV]\[strO:][brI],,,,,XXl,CCCVV CV CVV,CCVV CV CV,110,0,0,N,,,,20,
appetite,P\'{-pI-t2t\[V][CV][CVVC]\[&][pI][taIt],,,,,XxS,V CV CVVC,V CV CVVC,101,0,0,N,,,,4,
attitude,P\'{-tI-tjud\[V][CV][CCVVC]\[&][tI][tju:d],,,,,XxS,V CV CVVC,V CV CVVC,101,0,0,N,,,,2,
celebrate,P\'sE-lI-br1t\[CV][CV][CCVVC]\[sE][lI][breIt],,,,,XxS,CV CV CCVVC,CV CV CCVVC,101,0,0,V,,,,1,
crocodile,P\'krQ-k@-d2l\[CCV][CV][CVVC]\[krO][k@][daIl],,,,,XxS,CCV CV CVVC,CCV CV CVVC,101,0,0,N,,,,1,
generate,P\'_E-n@-r1t\[CV][CV][CVVC]\[dZE][n@][reIt],,,,,XxS,CV CV CVVC,CV CV CVVC,101,0,0,V,,,,1,
irritate,P\'I-rI-t1t\[V][CV][CVVC]\[I][rI][teIt],,,,,XxS,VV CV CVVC,V CV CVVC,101,0,0,V,,,,1,
magazine,"P\""m{-g@-'zin\[CV][CV][CVVC]\[m&][g@][zi:n]\S\'m{-g@-zin\[CV][CV][CVVC]\[m&][g@][zi:n]",,,,,XxS,CV CV CVVC,CV CV CVVC,101,0,0,N,,,,7,
navigate,P\'n{-vI-g1t\[CV][CV][CVVC]\[n&][vI][geIt],,,,,XxS,CV CV CVVC,CV CV CVVC,101,0,0,V,,,,2,
paranoid,P\'p{-r@-n4d\[CV][CV][CVVC]\[p&][r@][nOId],,,,XxS,,CV CV CVVC,CV CV CVVC,101,0,0,A,,,,1,
regulate,P\'rE-gjU-l1t\[CV][CCV][CVVC]\[rE][gjU][leIt]\S\'rE-gj@-l1t\[CV][CCV][CVVC]\[rE][gj@][leIt],,,,,XxS,CV CCVV CVVC,CV CCV CVVC,101,0,0,V,,,,1,
separate,P\'sE-p@-r1t\[CV][CV][CVVC]\[sE][p@][reIt],,,,,XxS,CV CV CVVC,CV CV CVVC,101,0,0,V,,,,1,
telephone,P\'tE-lI-f5n\[CV][CV][CVVC]\[tE][lI][f@Un],,,,,XxS,CV CV CVVC,CV CV CVVC,101,0,0,N,,,,73,
banana,P\b@-'n#-n@\[CV][CVV][CV]\[b@][nA:][n@],,,,,xXx,CV CV CV,CV CVV CV,010,0,0,N,,,,138,
gorilla,P\g@-'rI-l@\[CV][CV][CV]\[g@][rI][l@]\S\gU-'rI-l@\[CV][CV][CV]\[gU][rI][l@],,,,,xXx,CV CV CV,CV CV CV,010,0,0,N,,,,20,
iguana,"P\I-'gw#-n@\[V][CCVV][CV]\[I][gwA:][n@]\S\""I-gjU-'#-n@\[V][CCV][VV][CV]\[I][gjU][A:][n@]",,,,,xXx,V CCVV CV,V CCVV CV,010,0,0,N,,,,3,
vanilla,"P\v@-'nI-l@\[CV][CV][CV]\[v@][nI][l@]\S\vH-'I-l@\[CS][V][CV]\[vn,][I][l@]",,,,,xXx,CV CV CV,CV CV CV,010,0,0,N,,,,13,
chihuahua,P\JI-'w#-w@\[CV][CVV][CV]\[tSI][wA:][w@]\S\JI-'w#-w#\[CV][CVV][CVV]\[tSI][wA:][wA:],,,,xXX,,CV CVV CV,CV CVV CV,010,0,0,N,,,,5,
camera,P\'k{-m@-r@\[CV][CV][CV]\[k&][m@][r@]\P\'k{m-r@\[CVC][CV]\[k&m][r@],,,,,Xxx,CV CV CV,CV CV CV,010,0,0,N,,,,15,
inexpensive,"P\""In-Ik-'spEn-sIv\[VC][VC][CCVC][CVC]\[In][Ik][spEn][sIv]\S\""In-Ek-'spEn-sIv\[VC][VC][CCVC][CVC]\[In][Ek][spEn][sIv]",,,,,CcCc,VM VC CCVM CVC,VC VC CCVC CVC,1010,0,0,A,,,,1,
condensation,"P\""kQn-dEn-'s1-SH\[CVC][CVC][CVV][CS]\[kOn][dEn][seI][Sn,]\S\""kQn-d@n-'s1-SH\[CVC][CVC][CVV][CS]\[kOn][d@n][seI][Sn,]",,,,,CcLc,CVM CVM CVV CR,CVC CVC CVV CS,1010,0,0,N,,,,1,
conversation,"P\""kQn-v@-'s1-SH\[CVC][CV][CVV][CS]\[kOn][v@][seI][Sn,]",,,,,CcLc,CVM CR CVV CR,CVC CR CVV CS,1010,0,0,N,,,,4,
entertaining,"P\""En-t@-'t1-nIN\[VC][CV][CVV][CVC]\[En][t@][teI][nIN]",+En.Rt'en.IG|+Ent.Rt'en.IG,,,,CcLc,VM CR CVV CVM,VC CR CVV CVC,1010,+/IG/,VM CR CVVC,A,,,,2,
exercises,P\'Ek-s@-s2-sIz\[VC][CV][CVV][CVC]\[Ek][s@][saI][sIz],,,,CcLc,,VC CR CVV CVC,VC CR CVV CVC,1010,+/z/,VC CR CVVC,N,,,,1,
expectations,"P\""Ek-spEk-'t1-SHz\[VC][CCVC][CVV][CSC]\[Ek][spEk][teI][Sn,z]",,,,CcLc,,VC CCVC CVV CRC,VC CCVC CVV CSC,1010,+/z/,VC CCVC CVV CR,N,,,,1,
entertainment,"P\""En-t@-'t1n-m@nt\[VC][CV][CVVC][CVCC]\[En][t@][teIn][m@nt]",+En.Rt'enm.Int|+Ent.Rt'enm.Int,,,,CcSc,VM CR CVVC CVMC,VC CR CVVC CVCC,1010,0,0,N,,,,2,
acceptable,"P\@k-'sEp-t@-bP\[VC][CVC][CV][CS]\[@k][sEp][t@][bl,]\S\{k-'sEp-t@-bP\[VC][CVC][CV][CS]\[&k][sEp][t@][bl,]",,,,,CCxC,VC CVC CV CR,VC CVC CV CR,1101,0,0,A,,,,1,
extinguisher,P\Ik-'stIN-gwI-S@R\[VC][CCVC][CCV][CVC]\[Ik][stIN][gwI][S@r*]\S\Ek-'stIN-gwI-S@R\[VC][CCVC][CCV][CVC]\[Ek][stIN][gwI][S@r*],,,,,cCxc,VC CCVVC CCV CR,VC CCVC CCV CR,0100,0,0,N,,,,1,
unfortunate,"P\Vn-'f$J-n@t\[VC][CVVC][CVC]\[Vn][fO:tS][n@t]\S\Vn-'f$J-nIt\[VC][CVVC][CVC]\[Vn][fO:tS][nIt]\S\Vn-'f$-JH-@t\[VC][CVV][CS][VC]\[Vn][fO:][tSn,][@t]\S\Vn-'f$-JH-It\[VC][CVV][CS][VC]\[Vn][fO:][tSn,][It]\S\Vn-'f$-J@-n@t\[VC][CVV][CV][CVC]\[Vn][fO:][tS@][n@t]\S\Vn-'f$-J@-nIt\[VC][CVV][CV][CVC]\[Vn][fO:][tS@][nIt]",,,,,cCxc,VM CVVC CV CVC,VC CVC CV CVC,0100,0,0,A,,,,1,
successfully,"P\s@k-'sEs-fU-lI\[CVC][CVC][CV][CV]\[s@k][sEs][fU][lI]\S\s@k-'sEs-f@-lI\[CVC][CVC][CV][CV]\[s@k][sEs][f@][lI]\S\s@k-'sEs-fP-I\[CVC][CVC][CS][V]\[s@k][sEs][fl,][I]",,,,cCxl,,CVC CVC CV CVV,CVC CVC CV CV,0100,0,0,,Adverb,,,1,
wonderfully,P\'wVn-d@-flI\[CVC][CV][CCV]\[wVn][d@][flI]\S\'wVn-d@-fU-lI\[CVC][CV][CV][CV]\[wVn][d@][fU][lI]\S\'wVn-d@-f@-lI\[CVC][CV][CV][CV]\[wVn][d@][f@][lI],w'And.Rf.xl.i|w'And.Rfl.i,,,CcXl,,CVM CR CV CVV,CVC CR CCV,1011,0,0,,Adverb,,,1,
investigate,P\In-'vE-stI-g1t\[VC][CV][CCV][CVVC]\[In][vE][stI][geIt],,,,,cCxS,VM CV CCV CVVC,VC CVC CV CVVC,0101,0,0,V,,,,1,
obviously,P\'Qb-v7s-lI\[VC][CVVC][CV]\[Ob][vI@s][lI]\S\'Qb-vj@s-lI\[VC][CCVC][CV]\[Ob][vj@s][lI],,,,Clcl,,VC CVV CVC CVV,VC CVCC CV,1000,0,0,,Adverb,,,2,
antisocial,"P\""{n-tI-'s5-SP\[VC][CV][CVV][CS]\[&n][tI][s@U][Sl,]",,,,,ClLc,VM CVV CVV CR,VC CVV CVV CR,1010,0,0,A,,,,1,
portfolio,"P\""p$t-'f5-lj5\[CVVC][CVV][CCVV]\[pO:t][f@U][lj@U]\S\""p$t-'f5-lI-5\[CVVC][CVV][CV][VV]\[pO:t][f@U][lI][@U]",,,,,CLLl,CVVCC CVV CVV VV,CVVCC CVV CVV,1110,0,0,N,,,,1,
malnutrition,"P\""m{l-nju-'trI-SH\[CVC][CCVV][CCV][CS]\[m&l][nju:][trI][Sn,]\S\""m{l-njU-'trI-SH\[CVC][CCV][CCV][CS]\[m&l][njU][trI][Sn,]",,,,,ClXc,CVM CCVV CCV CR,CVC CCVV CCV CS,1010,0,0,N,,,,1,
